Timestamp (ns),Timestamp2,I,Q
2024-11-17 11:03:08.349145351,.462,-0.000166,0.000852
2024-11-17 11:03:08.349145362,.295,0.00154,0.0012
2024-11-17 11:03:08.349145373,.128,-0.000686,0.00137
2024-11-17 11:03:08.349145383,.961,-2.42e-07,0.000853
2024-11-17 11:03:08.349145394,.794,-0.00051,0.000343
2024-11-17 11:03:08.349145405,.627,-0.000167,0.000166
2024-11-17 11:03:08.349145416,.460,0.00103,-0.000686
2024-11-17 11:03:08.349145427,.293,1.4e-07,0.000685
2024-11-17 11:03:08.349145438,.126,-0.000343,0.00103
2024-11-17 11:03:08.349145448,.959,0.00172,0.000343
2024-11-17 11:03:08.349145459,.792,0.000343,-0.000166
2024-11-17 11:03:08.349145470,.625,-0.000167,-0.000166
2024-11-17 11:03:08.349145481,.458,-2.98e-07,-0.000509
2024-11-17 11:03:08.349145492,.291,0.00103,0.000852
2024-11-17 11:03:08.349145503,.124,0.00154,0.000686
2024-11-17 11:03:08.349145513,.957,0.000509,-4.14e-07
2024-11-17 11:03:08.349145524,.790,0.00137,0.000509
2024-11-17 11:03:08.349145535,.623,0.00103,-0.000853
2024-11-17 11:03:08.349145546,.456,-0.00137,0.00154
2024-11-17 11:03:08.349145557,.289,-0.000509,0.000343
2024-11-17 11:03:08.349145568,.122,0.000852,-0.00103
2024-11-17 11:03:08.349145578,.955,0.00119,-0.000509
2024-11-17 11:03:08.349145589,.788,-0.000686,0.000343
2024-11-17 11:03:08.349145600,.621,-0.00103,0.000166
2024-11-17 11:03:08.349145611,.454,-0.00137,0.000342
2024-11-17 11:03:08.349145622,.287,0.000167,0.000852
2024-11-17 11:03:08.349145633,.120,0.00137,-0.00206
2024-11-17 11:03:08.349145643,.953,-0.000166,0.000343
2024-11-17 11:03:08.349145654,.786,-0.000343,-0.000509
2024-11-17 11:03:08.349145665,.619,-0.000853,-0.000852
2024-11-17 11:03:08.349145676,.452,-0.00051,0.00188
2024-11-17 11:03:08.349145687,.285,0.000685,-0.000167
2024-11-17 11:03:08.349145698,.118,-0.00103,-0.000343
2024-11-17 11:03:08.349145708,.951,0.00154,-0.00103
2024-11-17 11:03:08.349145719,.784,0.000167,0.000509
2024-11-17 11:03:08.349145730,.617,-0.00188,0.000343
2024-11-17 11:03:08.349145741,.450,-0.000343,-0.000509
2024-11-17 11:03:08.349145752,.283,-0.000343,0.00172
2024-11-17 11:03:08.349145763,.116,0.000686,0.000686
2024-11-17 11:03:08.349145773,.949,-0.00103,0.000167
2024-11-17 11:03:08.349145784,.782,0.000852,0.00103
2024-11-17 11:03:08.349145795,.615,-1.69e-07,0.00103
2024-11-17 11:03:08.349145806,.448,-0.000343,0.000685
2024-11-17 11:03:08.349145817,.281,-0.000509,0.000686
2024-11-17 11:03:08.349145828,.114,0.00051,0.00051
2024-11-17 11:03:08.349145838,.947,-0.000852,-0.00119
2024-11-17 11:03:08.349145849,.780,0.000509,0.000167
2024-11-17 11:03:08.349145860,.613,-0.00206,-0.00103
2024-11-17 11:03:08.349145871,.446,-0.00531,-0.00462
2024-11-17 11:03:08.349145882,.279,-0.00497,-0.00394
2024-11-17 11:03:08.349145893,.112,-0.00412,-0.00309
2024-11-17 11:03:08.349145903,.945,-0.00497,-0.00137
2024-11-17 11:03:08.349145914,.778,-0.00531,-0.00137
2024-11-17 11:03:08.349145925,.611,-0.006,-0.00154
2024-11-17 11:03:08.349145936,.444,-0.00514,-0.000343
2024-11-17 11:03:08.349145947,.277,-0.00583,0.00051
2024-11-17 11:03:08.349145958,.110,-0.00634,0.00257
2024-11-17 11:03:08.349145968,.943,-0.0048,0.00171
2024-11-17 11:03:08.349145979,.776,-0.00549,0.0024
2024-11-17 11:03:08.349145990,.609,-0.00668,0.00343
2024-11-17 11:03:08.349146001,.442,-0.00702,0.00462
2024-11-17 11:03:08.349146012,.275,-0.00446,0.00652
2024-11-17 11:03:08.349146023,.108,-0.00686,0.00549
2024-11-17 11:03:08.349146033,.941,-0.00652,0.00497
2024-11-17 11:03:08.349146044,.774,-0.00565,0.006
2024-11-17 11:03:08.349146055,.607,-0.00565,0.00686
2024-11-17 11:03:08.349146066,.440,-0.00377,0.006
2024-11-17 11:03:08.349146077,.273,-0.00668,0.00634
2024-11-17 11:03:08.349146088,.106,-0.00428,0.00617
2024-11-17 11:03:08.349146098,.939,-0.00617,0.00617
2024-11-17 11:03:08.349146109,.772,-0.00652,0.00634
2024-11-17 11:03:08.349146120,.605,-0.00343,0.0072
2024-11-17 11:03:08.349146131,.438,-0.00565,0.00549
2024-11-17 11:03:08.349146142,.271,-0.00291,0.00652
